Company Name,Role,Cause,Started On,Finished On,Description
WikigapKazakhstan,Participant,humanRights,Mar 2021,Mar 2021,Participated in the #WikigapKazakhstan project to close the gender gap on Wikipedia. Source: http://wikigapkazakhstan.kz
GitHub,Developer,scienceAndTechnology,Sep 2019,,From time to time I do contribute in GitHub: - issue bugs and features in various projects; - solve them; - participate in discussions; - create my own projects.
notabenoid,Independent Translator,artsAndCulture,Jul 2016,,Occasionally translate shows/books/games/etc on a closed translators community notabenoid.org
