Name,Url,Authority,Started On,Finished On,License Number
English Proficiency Certificate,https://certs.duolingo.com/t3hpr03voxqez7v6,Duolingo English Test,Jun 2025,Jun 2027,t3hpr03voxqez7v6
Основы Искусственного Интеллекта: чатGPT,,LERNA,Dec 2025,,KZ308699
Certified Peer Reviewer Course,,Elsevier,Mar 2026,,
AI Fundamentals,https://www.datacamp.com/skill-verification/AIF0023434350580,DataCamp,Mar 2026,,AIF0023434350580
Data Literacy,https://www.datacamp.com/skill-verification/DL0034243742235,DataCamp,Mar 2026,,DL0034243742235
Claude 101,https://verify.skilljar.com/c/3odneyprhybd,Anthropic,Jun 2026,,
Associate Data Engineer in SQL,https://www.datacamp.com/completed/statement-of-accomplishment/track/f98840ba4766539ab7765d7f8c6f536febaf4e9d,DataCamp,Apr 2026,,f98840ba4766539ab7765d7f8c6f536febaf4e9d
Data Analyst in R,https://www.datacamp.com/completed/statement-of-accomplishment/track/e780de12dce8b8ae402ce383dadb0290d8b8dfe3,DataCamp,Apr 2026,,e780de12dce8b8ae402ce383dadb0290d8b8dfe3
Data Storytelling,https://www.datacamp.com/completed/statement-of-accomplishment/track/10c910bfe0947714ee98569bf26067720425a8e8,DataCamp,Apr 2026,,10c910bfe0947714ee98569bf26067720425a8e8
AI Fundamentals,https://www.datacamp.com/completed/statement-of-accomplishment/track/69f43f98299ed1c9fef47563d40ef06936da31d0,DataCamp,Mar 2026,,69f43f98299ed1c9fef47563d40ef06936da31d0
Data Literacy Professional,https://www.datacamp.com/completed/statement-of-accomplishment/track/4366157e73fe361ca7b9e10a493dc4b7d047f0ca,DataCamp,Mar 2026,,4366157e73fe361ca7b9e10a493dc4b7d047f0ca
Understanding Data Topics,https://www.datacamp.com/completed/statement-of-accomplishment/track/3925fef396743ba6fb17499f05e2aa0433ba1ac1,DataCamp,Apr 2026,,3925fef396743ba6fb17499f05e2aa0433ba1ac1
