Name,Published On,Description,Publisher,Url
Privacy-Preserving Federated Learning for Hydrological Forecasting in the Chu–Talas Basin,"Mar 6, 2026","The hydrological prediction in transboundary river basins is difficult because of their heterogeneous data distribution, restrictions of data sovereignty, and the irregular nature of the discharge pattern. In this paper, Federated Learning (FL) with an LSTM neural network is proposed for next-day predictions of discharge in the Chu–Talas transboundary basin. The basin area belongs to both Kazakhstan and Kyrgyzstan. In an FL scenario, two hydrological stations from the basin were selected as client nodes, representing two different discharge regimes. Station 15125—the Chu main channel is characterized by the highest discharge regime among stations located in the basin, while Station 15233—Merke tributary represents a small catchment with an irregular regime. The federated LSTM model is compared against a centralized LSTM and a local-only LSTM baseline model. The training process is based on nearly three decades of daily discharge measurements. The preprocessing step includes synchronization, lag calculation, and windowing operation. The models are trained using three metrics: root mean square error, mean absolute error, and Nash–Sutcliffe Efficiency, as well as using Monte Carlo Dropout for estimation of the probabilistic uncertainty. The results demonstrate that the federated model demonstrates comparable performance with the centralized one for the Chu main channel. It also improves prediction accuracy for the smaller Merke tributary compared with both centralized and local-only models. These findings show that ",mdpi Water,https://doi.org/10.3390/w18111361
A Performance Evaluation of Flask (WSGI) and Fastapi (ASGI) Under High-Concurrency Workloads,"Apr 10, 2026","Python web development is experiencing a paradigm shift from the traditional Synchronous Web Server Gateway Interface (WSGI) to the modern Asynchronous Server Gateway Interface (ASGI). While WSGI frameworks like Flask have existed for a long time as the industry standard for microservices, their blocking architecture inherently restricts performance under high-concurrency workloads. This research fills this specific gap completely by introducing a rigorous quantitative benchmark comparing Flask WSGI with FastAPI (ASGI). Through the construction of two functionally identical applications and rigorous controlled I/O-bound load testing using Apache JMeter, throughput, latency, and error rates are measured. Results show a stark contrast in stability; ASGI kept 100% reliability, WSGI failed by 76% under identical load. These findings have actionable implications for software developers that moving to …","2026 18th International Conference on Electronics, Computer, and Computation (ICECCO)",https://ieeexplore.ieee.org/abstract/document/11488817/
Enhancing healthcare data privacy and interoperability with federated learning,"May 8, 2025","This article explores the application of federated learning (FL) with the Fast Healthcare Interoperability Resources (FHIR) protocol to address the underutilization of the huge volumes of healthcare data generated by the digital health revolution, especially those from wearable sensors, due to privacy concerns and interoperability challenges. Despite advances in electronic medical records, mobile health applications, and wearable sensors, current digital health cannot fully exploit these data due to the lack of data analysis and exchange between heterogeneous systems. To address this gap, we present a novel converged platform combining FL and FHIR, which enables collaborative model training that preserves the privacy of wearable sensor data while promoting data standardization and interoperability. Unlike traditional centralized learning (CL) solutions that require data centralization, our platform uses local model learning, which naturally improves data privacy. Our empirical evaluation demonstrates that federated learning models perform as well as, or even numerically better than, centralized learning models in terms of classification accuracy, while also performing equally well in regression, as indicated by metrics such as accuracy, area under the curve (AUC), recall, and precision, among others, for classification, and mean absolute error (MAE), mean squared error (MSE), and root mean square error (RMSE) for regression. In addition, we developed an intuitive AutoML-powered web application that is FL and CL compatible to illustrate the feasibility of our platform for predictive modeling of physical activity and energy expenditure, while …",PeerJ Computer Science,https://peerj.com/articles/cs-2870/
Part-of-speech tagging of Kazakh text via LSTM network with a bidirectional modifier,"Nov 25, 2021","n this paper, part-of-speech tagging on Kazakh text has been implemented using an LSTM neural network with a bidirectional modifier. A quite simple and fast tagger has been built, tested and evaluated on the self-collected dataset of Kazakh sentences with an accuracy of 94 %. There was addressed basically the problem of tagging having a small number of training samples (around 100 Kazakh sentences). It has been shown that quite good accuracy can be achieved in this situation.",2021 16th International Conference on Electronics Computer and Computation (ICECCO),https://ieeexplore.ieee.org/abstract/document/9663794/
Analysis of supervisors and students in the context of diploma defense,"Nov 25, 2021","This work analyzed supervisors and students in the context of diploma defense. One of the most important aspects of education is the search for students and supervisors, as well as the establishment of projects, the introduction of research, and work delegation. Unfortunately, the issue comes when looking for students and supervisors in fields of interest to them. Based on an examination of common interests, study fields, and demands, it was determined to establish a project management system and search for students or research supervisors to solve this challenge. As a result, the current study discusses the development of a specialized platform and a user-friendly system for monitoring student progress in a supervisory setting. It also strives to develop.",2021 16th International Conference on Electronics Computer and Computation (ICECCO),https://ieeexplore.ieee.org/abstract/document/9663776/
Application of k-means in the perception of supervisors from students’ side,"Nov 25, 2021","The article is about the application of k-means in the perception of supervisors from the students’ side. The student-supervisor relationship is an important factor in whether or not a graduate program will be successful. Unfortunately, the student-supervisor relations do not always end up with students having a profitable experience and effectively finishing the academic work. Based on a survey taken from students and supervisors, their perceptions of student-supervisor relationships were clustered using the k-means clustering approach. As a result, the conclusion which states that student-supervisor relationships are equal and should be discussed before starting the collaborative academic work was made.",2021 16th International Conference on Electronics Computer and Computation (ICECCO),https://ieeexplore.ieee.org/abstract/document/9663859/
Interoperability Challenges in Wearable Iot for Healthcare With Federated Learning: A Review,"Apr 10, 2026","The Internet of Medical Things (IoMT) has the potential to change the healthcare industry with the help of sensing technologies. However, the increasing number of heterogeneous devices creates critical data silos due to the use of proprietary data formats, such as Apple Health and Fitbit. These data formats are not compatible with standardized electronic health record (EHR) systems. Fast Healthcare Interoperability Resources (FHIR) and Federated Learning (FL) have the potential to bridge the gap between the incompatibilities of data formats while maintaining the privacy of the patient. This systematic review has included the recent literature from the year 2020 to 2025. New findings on the integration of FL and FHIR have also been included in this systematic review. A novel FedFHIR architecture has been introduced with the help of on-device converters that standardize raw data before FL processing. This helps …","2026 18th International Conference on Electronics, Computer, and Computation (ICECCO)",https://ieeexplore.ieee.org/abstract/document/11488778/
Personalized Federated Learning for Sovereign Personal AI Agents: A Review,"Apr 10, 2026","The field of Artificial Intelligence (AI) is at an inflection point, shifting from the “One Model Fits All” philosophy represented by centralized models like ChatGPT to “Hyper-Personalized AI” that honors user data sovereignty while retaining the collaborative learning advantages. This review examines the convergence of Personalized Federated Learning (PFL), Large Language Models (LLMs), and privacy-preserving technologies to create truly sovereign personal AI agents. We review over 39 peer-reviewed articles (2020-2025) on these topics, with particular emphasis on three major areas: architectural innovations in personalization using Low-Rank Adaptation (LoRA) adapters and knowledge graphs, privacy-preserving technologies like Differential Privacy (DP) and secure aggregation, and frameworks that allow users' personal data to be used to train personal agents locally without requiring cloud access. Our …","2026 18th International Conference on Electronics, Computer, and Computation (ICECCO)",https://ieeexplore.ieee.org/abstract/document/11488769/
Federated Learning Strategies for Fine-Tuning Large Language Models: A Systematic Literature Review,"Jun 3, 2026","Recently, the advancement in natural language processing has been driven by the concept of Large Language Models (LLMs). Nevertheless, the deployment of these models in distributed systems is associated with an essential trade-off in terms of privacy and model performance. This systematic review examines the various methods of federated learning in fine-tuning LLMs that were developed between 2023 and 2025, considering the trade-offs in terms of privacy and performance. The results indicate that the methods of Parameter-Efficient Fine-Tuning (PEFT) have been successful in reducing the bandwidth requirements, while system heterogeneity is the key challenge. In the near future, the research in the area of fine-tuning LLMs needs to be focused on architectural flexibility to suit the constraints of edge devices.",2026 11th International Conference on Information and Network Technologies (ICINT),https://ieeexplore.ieee.org/abstract/document/11549926/
